Date,NIFTY,BANKNIFTY,NIFTY_norm,BANKNIFTY_norm
2023-04-05,17557.05078125,40999.1484375,96.48083404546524,94.89862291064533
2023-04-06,17599.150390625,41041.0,96.71218300470082,94.99549457260103
2023-04-10,17624.05078125,40834.6484375,96.84901751554723,94.51786321041405
2023-04-11,17722.30078125,41366.5,97.38892835040626,95.74891270284596
2023-04-12,17812.400390625,41557.94921875,97.88405054193936,96.1920503754342
2023-04-13,17828.0,42132.55078125,97.96977469584401,97.52205109695358
2023-04-17,17706.849609375,42262.55078125,97.30401990148431,97.82295541932481
2023-04-18,17660.150390625,42265.19921875,97.04739482074561,97.82908562156544
2023-04-19,17618.75,42154.0,96.81988826129692,97.5716985018256
2023-04-20,17624.44921875,42269.5,96.85120703944814,97.83904041900927
2023-04-21,17624.05078125,42118.0,96.84901751554723,97.4883711510151
2023-04-24,17743.400390625,42635.75,97.50487652051166,98.6867804810744
2023-04-25,17769.25,42678.5,97.64692725006316,98.78573171016187
2023-04-26,17813.599609375,42829.8984375,97.89064057956269,99.13616589665419
2023-04-27,17915.05078125,43000.8515625,98.44814273635106,99.53186231384936
2023-04-28,18065.0,43233.8984375,99.2721550303131,100.07128394463867
2023-05-02,18147.650390625,43352.1015625,99.72634171126748,100.3448826464101
2023-05-03,18089.849609375,43312.69921875,99.40871048419174,100.25368006528757
2023-05-04,18255.80078125,43685.44921875,100.32065792187994,101.11646534347125
2023-05-05,18069.0,42661.19921875,99.29413613300456,98.74568648048091
2023-05-08,18264.400390625,43284.0,100.36791514607452,100.18725145782177
2023-05-09,18265.94921875,43198.1484375,100.37642638359128,99.98853525598658
2023-05-10,18315.099609375,43331.05078125,100.64652132950467,100.29615748435306
2023-05-11,18297.0,43475.30078125,100.54705898641787,100.63004554975346
2023-05-12,18314.80078125,43793.55078125,100.64487918657899,101.3666824774046
2023-05-15,18398.849609375,44072.1015625,101.10675066710715,102.01142966262007
2023-05-16,18286.5,43903.69921875,100.48935859185278,101.62163740775989
2023-05-17,18181.75,43698.69921875,99.91372846512013,101.14713443786678
2023-05-18,18129.94921875,43752.30078125,99.62906889208159,101.27120322126757
2023-05-19,18203.400390625,43969.3984375,100.03270333002973,101.77370801466981
2023-05-22,18314.400390625,43885.1015625,100.64267892971779,101.57859036813221
2023-05-23,18348.0,43954.44921875,100.82731804573399,101.73910582591637
2023-05-24,18285.400390625,43677.8515625,100.4833159352047,101.09887943881344
2023-05-25,18321.150390625,43681.3984375,100.67977204050962,101.10708920818583
2023-05-26,18499.349609375,44018.0,101.65902587223013,101.88620355490248
2023-05-29,18598.650390625,44311.8984375,102.20471103972977,102.56647517168635
2023-05-30,18633.849609375,44436.3515625,102.3981404502305,102.85454042741794
2023-05-31,18534.400390625,44128.1484375,101.85163957774816,102.14115848525778
2023-06-01,18487.75,43790.19921875,101.59528282101692,101.35892478784348
2023-06-02,18534.099609375,43937.8515625,101.84998670186218,101.70068808355592
2023-06-05,18593.849609375,44101.6484375,102.1783294233159,102.07982029646672
2023-06-06,18599.0,44164.55078125,102.2066322396232,102.22541712047945
2023-06-07,18726.400390625,44275.30078125,102.90673250693831,102.4817644566534
2023-06-08,18634.55078125,43995.25,102.4019935829777,101.8335452984875
2023-06-09,18563.400390625,43989.0,102.01100257226126,101.81907874452736
2023-06-12,18601.5,43944.19921875,102.22037042880538,101.71538067742169
2023-06-13,18716.150390625,44079.8515625,102.85040593129145,102.02936818953066
2023-06-14,18755.900390625,43988.0,103.06884313928786,101.81676409589373
2023-06-15,18688.099609375,43443.6015625,102.69625915548346,100.5566729963868
2023-06-16,18826.0,43938.1484375,103.45405981736366,101.70137524486901
2023-06-19,18755.44921875,43633.75,103.06636382545888,100.99679981743208
2023-06-20,18816.69921875,43766.5,103.40294946042188,101.3040694235458
2023-06-21,18856.849609375,43859.19921875,103.62358692527948,101.51863554356359
2023-06-22,18771.25,43724.8515625,103.15319347427427,101.2076679245938
2023-06-23,18665.5,43622.8984375,102.57206807186876,100.97168226311877
2023-06-26,18691.19921875,43641.05078125,102.71329236347728,101.0136985607768
2023-06-27,18817.400390625,44121.5,103.40680259316908,102.12576968848266
2023-06-28,18972.099609375,44327.80078125,104.25691744657723,102.60328350991873
2023-06-30,19189.05078125,44747.3515625,105.44912394358154,103.5743961524753
2023-07-03,19322.55078125,45158.1015625,106.18274324590908,104.52513807873676
2023-07-04,19389.0,45301.44921875,106.54790002118686,104.85693753540914
2023-07-05,19398.5,45151.80078125,106.6001051400791,104.51055398402566
2023-07-06,19497.30078125,45339.8984375,107.1430426697423,104.94593396705278
2023-07-07,19331.80078125,44925.0,106.23357454588309,103.98558986560029
2023-07-10,19355.900390625,44860.8515625,106.36600854300708,103.83710877239174
2023-07-11,19439.400390625,44745.05078125,106.82486406169134,103.56907065229872
2023-07-12,19384.30078125,44639.44921875,106.5220765187085,103.32464013994944
2023-07-13,19413.75,44665.05078125,106.68390809409027,103.38389876160873
2023-07-14,19564.5,44819.30078125,107.51232090177474,103.74093331334538
2023-07-17,19711.44921875,45449.75,108.31984736871819,105.20020173609497
2023-07-18,19749.25,45410.8515625,108.52757308233663,105.11016552088546
2023-07-19,19833.150390625,45669.30078125,108.98862885788208,105.70838465192658
2023-07-20,19979.150390625,46186.8984375,109.79093910612043,106.90644135973311
2023-07-21,19745.0,46075.19921875,108.50421816072694,106.64789691567644
2023-07-24,19672.349609375,45923.05078125,108.10498423650121,106.29572674270891
2023-07-25,19680.599609375,45845.0,108.15032026080236,106.11506660853523
2023-07-26,19778.30078125,46062.3515625,108.68721513381747,106.6181591056921
2023-07-27,19659.900390625,45679.30078125,108.03657234755815,105.73153113826281
2023-07-28,19646.05078125,45468.1015625,107.96046492608102,105.24267915516047
2023-07-31,19753.80078125,45651.1015625,108.55258087983228,105.66625985511384
2023-08-01,19733.55078125,45592.5,108.44130154745675,105.53061782854493
2023-08-02,19526.55078125,44995.69921875,107.30377948317363,104.14923371567832
2023-08-03,19381.650390625,44513.44921875,106.50751189158336,103.03299441211271
2023-08-04,19517.0,44879.5,107.25129530731363,103.88027335277035
2023-08-07,19597.30078125,44837.5,107.69257023702885,103.78305811015811
2023-08-08,19570.849609375,44964.44921875,107.54721375570537,104.07690094587754
2023-08-09,19632.55078125,44880.69921875,107.88627870449734,103.88304912281146
2023-08-10,19543.099609375,44541.80078125,107.39471985578335,103.09861831751445
2023-08-11,19428.30078125,44199.1015625,106.7638686483146,102.30539003909043
2023-08-14,19434.55078125,44090.94921875,106.79821412127,102.05505536440616
2023-08-16,19465.0,43946.3984375,106.96554097232462,101.72047109609643
2023-08-17,19365.25,43891.3515625,106.41738722395631,101.59305692209237
2023-08-18,19310.150390625,43851.05078125,106.1145996809735,101.49977477383803
2023-08-21,19393.599609375,44002.0,106.57317614268997,101.84916917676448
2023-08-22,19396.44921875,43993.25,106.5888355317656,101.82891600122026
2023-08-23,19444.0,44479.05078125,106.85014018319445,102.95337411575449
2023-08-24,19386.69921875,44496.19921875,106.53525659395515,102.99306672318266
2023-08-25,19265.80078125,44231.44921875,105.87088635147397,102.38026349743048
2023-08-28,19306.05078125,44494.6484375,106.0920711973068,102.98947720948131
2023-08-29,19342.650390625,44495.25,106.2931961403416,102.99086961529997
2023-08-30,19347.44921875,44232.6015625,106.31956702379519,102.38293076831688
2023-08-31,19253.80078125,43989.1484375,105.80494304339958,101.81942232518391
2023-09-01,19435.30078125,44436.1015625,106.80233557802465,102.85396176525954
2023-09-04,19528.80078125,44578.30078125,107.31614385343758,103.18310299264178
2023-09-05,19574.900390625,44532.1484375,107.5694739153646,103.07627653324225
2023-09-06,19611.05078125,44409.1015625,107.76813027753074,102.79146625215168
2023-09-07,19727.05078125,44878.3515625,108.40558225558313,103.87761512348017
2023-09-08,19819.94921875,45156.3984375,108.91608477922408,104.52119594278261
2023-09-11,19996.349609375,45570.69921875,109.88545355450958,105.48015668001267
2023-09-12,19993.19921875,45511.3515625,109.868141289548,105.34278770856476
2023-09-13,20070.0,45909.44921875,110.29018275440818,106.26424390465313
2023-09-14,20103.099609375,46000.8515625,110.47207423258799,106.47580821472418
2023-09-15,20192.349609375,46231.5,110.9625275863912,107.00967830543127
2023-09-18,20133.30078125,45979.8515625,110.63803799768468,106.42720059341804
2023-09-20,19901.400390625,45384.6015625,109.36368142255515,105.04940599425281
2023-09-21,19742.349609375,44623.8515625,108.48965353360178,103.28853704622263
2023-09-22,19674.25,44612.05078125,108.11542740687172,103.26122238402662
2023-09-25,19674.55078125,44766.1015625,108.11708028275768,103.61779581435577
2023-09-26,19664.69921875,44624.19921875,108.06294323101173,103.28934174828666
2023-09-27,19716.44921875,44588.30078125,108.34732374708251,103.20624947897801
2023-09-28,19523.55078125,44300.94921875,107.28729365615501,102.54113157746741
2023-09-29,19638.30078125,44584.55078125,107.91787653961633,103.19756954660193
2023-10-03,19528.75,44399.05078125,107.3158647964698,102.76820222506451
2023-10-04,19436.099609375,43964.05078125,106.80672535878676,101.76133006943766
2023-10-05,19545.75,44213.3515625,107.40928448290852,102.33837378211959
2023-10-06,19653.5,44360.6015625,108.00140043665975,102.67920579342086
2023-10-09,19512.349609375,43886.5,107.22574012884274,101.58182725958078
2023-10-10,19689.849609375,44360.1484375,108.20115156077634,102.67815696825875
2023-10-11,19811.349609375,44516.8984375,108.8688275550295,103.04097814157946
2023-10-12,19794.0,44599.19921875,108.77348666869734,103.23147553244605
2023-10-13,19751.05078125,44287.94921875,108.5374688717319,102.51104114523028
2023-10-16,19731.75,44225.8984375,108.43140575806147,102.3674153891946
